,Demanda
2024-03-01 12:00:00,10453909.85
2024-03-01 13:00:00,10396734.62
2024-03-01 14:00:00,10560375.99
2024-03-01 15:00:00,10834348.97
2024-03-01 16:00:00,10844525.26
2024-03-01 17:00:00,10648900.16
2024-03-01 18:00:00,10351362.79
2024-03-01 19:00:00,10750086.13
2024-03-01 20:00:00,10966415.42
2024-03-01 21:00:00,10762646.46
2024-03-01 22:00:00,10306481.59
2024-03-01 23:00:00,9787502.71
2024-03-02 00:00:00,9193336.17
2024-03-02 01:00:00,8654324.23
2024-03-02 02:00:00,8342329.02
2024-03-02 03:00:00,8096092.09
2024-03-02 04:00:00,7970589.38
2024-03-02 05:00:00,7976858.97
2024-03-02 06:00:00,8112750.11
2024-03-02 07:00:00,8177787.98
2024-03-02 08:00:00,8631976.27
2024-03-02 09:00:00,9238947.81
2024-03-02 10:00:00,9690827.67
2024-03-02 11:00:00,9998323.57
2024-03-02 12:00:00,10196625.54
2024-03-02 13:00:00,10155557.54
2024-03-02 14:00:00,10066829.4
2024-03-02 15:00:00,10054846.9
2024-03-02 16:00:00,9931026.85
2024-03-02 17:00:00,9832524.35
2024-03-02 18:00:00,9769938.19
2024-03-02 19:00:00,10328576.8
2024-03-02 20:00:00,10463132.07
2024-03-02 21:00:00,10162885.61
2024-03-02 22:00:00,9795500.12
2024-03-02 23:00:00,9352659.42
2024-03-03 00:00:00,8721765.31
2024-03-03 01:00:00,8313454.01
2024-03-03 02:00:00,7966318.24
2024-03-03 03:00:00,7678337.52
2024-03-03 04:00:00,7484080.24
2024-03-03 05:00:00,7348890.06
2024-03-03 06:00:00,7304816.09
2024-03-03 07:00:00,7087243.29
2024-03-03 08:00:00,7309648.5
2024-03-03 09:00:00,7556870.22
2024-03-03 10:00:00,7928996.77
2024-03-03 11:00:00,8291614.16
2024-03-03 12:00:00,8536064.41
2024-03-03 13:00:00,8653388.76
2024-03-03 14:00:00,8721350.5
2024-03-03 15:00:00,8636385.3
2024-03-03 16:00:00,8606195.25
2024-03-03 17:00:00,8594199.32
2024-03-03 18:00:00,8643535.06
2024-03-03 19:00:00,9439628.77
2024-03-03 20:00:00,9846620.78
2024-03-03 21:00:00,9779868.92
2024-03-03 22:00:00,9560696.13
2024-03-03 23:00:00,9087258.96
2024-03-04 00:00:00,8592523.03
2024-03-04 01:00:00,8096234.11
2024-03-04 02:00:00,7870148.95
2024-03-04 03:00:00,7693253.36
2024-03-04 04:00:00,7635106.05
2024-03-04 05:00:00,7791156.99
2024-03-04 06:00:00,8300428.19
2024-03-04 07:00:00,8606070.82
2024-03-04 08:00:00,9043282.58
2024-03-04 09:00:00,9557393.64
2024-03-04 10:00:00,10000896.51
2024-03-04 11:00:00,10348377.11
2024-03-04 12:00:00,10728224.86
2024-03-04 13:00:00,10649128.24
2024-03-04 14:00:00,10850533.54
2024-03-04 15:00:00,11108614.26
2024-03-04 16:00:00,11052956.73
2024-03-04 17:00:00,10841252.82
2024-03-04 18:00:00,10474547.29
2024-03-04 19:00:00,10791165.48
2024-03-04 20:00:00,11127976.52
2024-03-04 21:00:00,11011835.45
2024-03-04 22:00:00,10589109.36
2024-03-04 23:00:00,9939376.82
2024-03-05 00:00:00,9146227.2
2024-03-05 01:00:00,8567438.36
2024-03-05 02:00:00,8291498.73
2024-03-05 03:00:00,8083407.59
2024-03-05 04:00:00,7997735.05
2024-03-05 05:00:00,8156532.1
2024-03-05 06:00:00,8682624.06
2024-03-05 07:00:00,8752331.72
2024-03-05 08:00:00,9302718.92
2024-03-05 09:00:00,9856033.46
2024-03-05 10:00:00,10050656.48
2024-03-05 11:00:00,10479004.56
2024-03-05 12:00:00,10784848.38
2024-03-05 13:00:00,10494358.24
2024-03-05 14:00:00,10763352.84
2024-03-05 15:00:00,11074065.16
2024-03-05 16:00:00,11132645.42
2024-03-05 17:00:00,10992625.96
2024-03-05 18:00:00,10691513.68
2024-03-05 19:00:00,11086466.9
2024-03-05 20:00:00,11359697.07
2024-03-05 21:00:00,11179006.64
2024-03-05 22:00:00,10661337.06
2024-03-05 23:00:00,10011830.36
2024-03-06 00:00:00,9417265.09
2024-03-06 01:00:00,8877788.74
2024-03-06 02:00:00,8488267.61
2024-03-06 03:00:00,8253104.54
2024-03-06 04:00:00,8154571.19
2024-03-06 05:00:00,8324486.02
2024-03-06 06:00:00,8810996.03
2024-03-06 07:00:00,9011787.57
2024-03-06 08:00:00,9379745.16
2024-03-06 09:00:00,9815198.64
2024-03-06 10:00:00,10053483.8
2024-03-06 11:00:00,10398681.67
2024-03-06 12:00:00,10759766.65
2024-03-06 13:00:00,10685918.1
2024-03-06 14:00:00,10875282.56
2024-03-06 15:00:00,11134011.2
2024-03-06 16:00:00,11207029.43
2024-03-06 17:00:00,11070291.63
2024-03-06 18:00:00,10732500.0
2024-03-06 19:00:00,11195406.25
2024-03-06 20:00:00,11449904.03
2024-03-06 21:00:00,11274591.6
2024-03-06 22:00:00,10804505.59
2024-03-06 23:00:00,10071492.04
2024-03-07 00:00:00,9546381.34
2024-03-07 01:00:00,8826177.19
2024-03-07 02:00:00,8497465.83
2024-03-07 03:00:00,8247269.36
2024-03-07 04:00:00,8163144.09
2024-03-07 05:00:00,8325288.19
2024-03-07 06:00:00,8817964.02
2024-03-07 07:00:00,8886459.08
2024-03-07 08:00:00,9264533.43
2024-03-07 09:00:00,9837913.51
2024-03-07 10:00:00,10119229.07
2024-03-07 11:00:00,10500127.62
2024-03-07 12:00:00,10776669.45
2024-03-07 13:00:00,10803085.6
2024-03-07 14:00:00,11035025.48
2024-03-07 15:00:00,11256533.95
2024-03-07 16:00:00,11344690.21
2024-03-07 17:00:00,11055518.28
2024-03-07 18:00:00,10712855.71
2024-03-07 19:00:00,11317171.82
2024-03-07 20:00:00,11522204.58
2024-03-07 21:00:00,11332549.85
2024-03-07 22:00:00,10723125.77
2024-03-07 23:00:00,10134565.49
2024-03-08 00:00:00,9365697.49
2024-03-08 01:00:00,9001866.88
2024-03-08 02:00:00,8721322.36
2024-03-08 03:00:00,8474653.31
2024-03-08 04:00:00,8398861.36
2024-03-08 05:00:00,8460250.56
2024-03-08 06:00:00,9016134.31
2024-03-08 07:00:00,9146474.54
2024-03-08 08:00:00,9582079.3
2024-03-08 09:00:00,9988107.16
2024-03-08 10:00:00,10251201.6
2024-03-08 11:00:00,10638600.93
2024-03-08 12:00:00,10925567.14
2024-03-08 13:00:00,10910535.17
2024-03-08 14:00:00,11044249.12
2024-03-08 15:00:00,11256138.42
2024-03-08 16:00:00,11282797.36
2024-03-08 17:00:00,11099311.84
2024-03-08 18:00:00,10707657.73
2024-03-08 19:00:00,11258739.47
2024-03-08 20:00:00,11443757.25
2024-03-08 21:00:00,11209935.82
2024-03-08 22:00:00,10588909.28
2024-03-08 23:00:00,10131277.76
2024-03-09 00:00:00,9593635.01
2024-03-09 01:00:00,9139325.59
2024-03-09 02:00:00,8789577.66
2024-03-09 03:00:00,8541830.25
2024-03-09 04:00:00,8345819.5
2024-03-09 05:00:00,8347850.84
2024-03-09 06:00:00,8481553.73
2024-03-09 07:00:00,8541551.02
2024-03-09 08:00:00,8953451.07
2024-03-09 09:00:00,9527362.91
2024-03-09 10:00:00,10040176.66
2024-03-09 11:00:00,10306162.48
2024-03-09 12:00:00,10479936.6
2024-03-09 13:00:00,10349669.47
2024-03-09 14:00:00,10239582.42
2024-03-09 15:00:00,10161082.69
2024-03-09 16:00:00,10165660.48
2024-03-09 17:00:00,10004180.1
2024-03-09 18:00:00,9928891.57
2024-03-09 19:00:00,10534755.11
2024-03-09 20:00:00,10728184.59
2024-03-09 21:00:00,10425036.18
2024-03-09 22:00:00,9954726.37
2024-03-09 23:00:00,9412448.35
2024-03-10 00:00:00,8956928.76
2024-03-10 01:00:00,8498754.2
2024-03-10 02:00:00,8167378.5
2024-03-10 03:00:00,7915865.56
2024-03-10 04:00:00,7751614.44
2024-03-10 05:00:00,7668894.68
2024-03-10 06:00:00,7603633.28
2024-03-10 07:00:00,7404518.88
2024-03-10 08:00:00,7643241.55
2024-03-10 09:00:00,7974817.86
2024-03-10 10:00:00,8283360.84
2024-03-10 11:00:00,8806406.96
2024-03-10 12:00:00,9013931.68
2024-03-10 13:00:00,9124012.27
2024-03-10 14:00:00,9185161.73
2024-03-10 15:00:00,9170370.95
2024-03-10 16:00:00,9148712.7
2024-03-10 17:00:00,9092997.01
2024-03-10 18:00:00,9077334.26
2024-03-10 19:00:00,9886294.35
2024-03-10 20:00:00,10314687.81
2024-03-10 21:00:00,10256931.63
2024-03-10 22:00:00,9990150.54
2024-03-10 23:00:00,9496701.25
2024-03-11 00:00:00,8841493.45
2024-03-11 01:00:00,8599556.18
2024-03-11 02:00:00,8288526.14
2024-03-11 03:00:00,8012523.1
2024-03-11 04:00:00,7948878.57
2024-03-11 05:00:00,8135236.46
2024-03-11 06:00:00,8637172.48
2024-03-11 07:00:00,8791018.92
2024-03-11 08:00:00,9251948.36
2024-03-11 09:00:00,9879695.19
2024-03-11 10:00:00,10170527.86
2024-03-11 11:00:00,10451695.64
2024-03-11 12:00:00,10758505.08
2024-03-11 13:00:00,10628711.01
2024-03-11 14:00:00,10787216.65
2024-03-11 15:00:00,10999549.4
2024-03-11 16:00:00,11014139.34
2024-03-11 17:00:00,10885201.07
2024-03-11 18:00:00,10550264.34
2024-03-11 19:00:00,11128313.35
2024-03-11 20:00:00,11349066.07
2024-03-11 21:00:00,11201792.83
2024-03-11 22:00:00,10676956.93
2024-03-11 23:00:00,9978015.61
2024-03-12 00:00:00,9349465.48
2024-03-12 01:00:00,8748901.19
2024-03-12 02:00:00,8479601.81
2024-03-12 03:00:00,8264420.42
2024-03-12 04:00:00,8140182.89
2024-03-12 05:00:00,8309369.05
2024-03-12 06:00:00,8807563.21
2024-03-12 07:00:00,8908449.93
2024-03-12 08:00:00,9324509.21
2024-03-12 09:00:00,9784945.35
2024-03-12 10:00:00,10180997.91
2024-03-12 11:00:00,10578009.5
2024-03-12 12:00:00,10894257.33
2024-03-12 13:00:00,10925185.08
2024-03-12 14:00:00,11074759.2
2024-03-12 15:00:00,11306613.89
2024-03-12 16:00:00,11365791.44
2024-03-12 17:00:00,11266638.67
2024-03-12 18:00:00,10882227.7
2024-03-12 19:00:00,11262636.78
2024-03-12 20:00:00,11498752.8
2024-03-12 21:00:00,11337406.83
2024-03-12 22:00:00,10842731.72
2024-03-12 23:00:00,10172098.37
2024-03-13 00:00:00,9443205.55
2024-03-13 01:00:00,8913867.73
2024-03-13 02:00:00,8578354.41
2024-03-13 03:00:00,8386763.52
2024-03-13 04:00:00,8250114.18
2024-03-13 05:00:00,8430979.98
2024-03-13 06:00:00,8919053.72
2024-03-13 07:00:00,9004583.09
2024-03-13 08:00:00,9520363.58
2024-03-13 09:00:00,10020074.1
2024-03-13 10:00:00,10343255.58
2024-03-13 11:00:00,10685811.08
2024-03-13 12:00:00,10903013.11
2024-03-13 13:00:00,10817108.81
2024-03-13 14:00:00,11036402.85
2024-03-13 15:00:00,11333642.58
2024-03-13 16:00:00,11346539.01
2024-03-13 17:00:00,11259789.83
2024-03-13 18:00:00,10876016.95
2024-03-13 19:00:00,11234646.68
2024-03-13 20:00:00,11484147.5
2024-03-13 21:00:00,11286335.72
2024-03-13 22:00:00,10812875.38
2024-03-13 23:00:00,10185467.75
2024-03-14 00:00:00,9577698.55
2024-03-14 01:00:00,9057375.42
2024-03-14 02:00:00,8691119.58
2024-03-14 03:00:00,8467511.77
2024-03-14 04:00:00,8339304.14
2024-03-14 05:00:00,8470070.58
2024-03-14 06:00:00,8956140.25
2024-03-14 07:00:00,9082238.41
2024-03-14 08:00:00,9514026.34
2024-03-14 09:00:00,10073066.87
2024-03-14 10:00:00,10330249.05
2024-03-14 11:00:00,10751500.36
2024-03-14 12:00:00,10993301.19
2024-03-14 13:00:00,10957668.94
2024-03-14 14:00:00,11125946.97
2024-03-14 15:00:00,11319917.28
2024-03-14 16:00:00,11340376.93
2024-03-14 17:00:00,11149539.28
2024-03-14 18:00:00,10788751.91
2024-03-14 19:00:00,11130792.87
2024-03-14 20:00:00,11364681.65
2024-03-14 21:00:00,11216015.43
2024-03-14 22:00:00,10829081.15
2024-03-14 23:00:00,10234107.41
2024-03-15 00:00:00,9626652.43
2024-03-15 01:00:00,9038674.07
2024-03-15 02:00:00,8684565.83
2024-03-15 03:00:00,8458267.84
2024-03-15 04:00:00,8365898.63
2024-03-15 05:00:00,8507856.3
2024-03-15 06:00:00,8990517.26
2024-03-15 07:00:00,9091781.21
2024-03-15 08:00:00,9536841.54
2024-03-15 09:00:00,9993341.62
2024-03-15 10:00:00,10391699.82
2024-03-15 11:00:00,10787236.61
2024-03-15 12:00:00,11039584.92
2024-03-15 13:00:00,10936435.81
2024-03-15 14:00:00,11095355.61
2024-03-15 15:00:00,11328550.35
2024-03-15 16:00:00,11342304.82
2024-03-15 17:00:00,11108172.33
2024-03-15 18:00:00,10724630.97
2024-03-15 19:00:00,11139846.5
2024-03-15 20:00:00,11326639.03
2024-03-15 21:00:00,11149591.09
2024-03-15 22:00:00,10757295.21
2024-03-15 23:00:00,10265875.7
2024-03-16 00:00:00,9657926.6
2024-03-16 01:00:00,9120311.35
2024-03-16 02:00:00,8788200.52
2024-03-16 03:00:00,8525341.39
2024-03-16 04:00:00,8373645.69
2024-03-16 05:00:00,8355921.78
2024-03-16 06:00:00,8485948.15
2024-03-16 07:00:00,8596467.74
2024-03-16 08:00:00,9104660.03
2024-03-16 09:00:00,9706036.63
2024-03-16 10:00:00,10060240.17
2024-03-16 11:00:00,10408124.26
2024-03-16 12:00:00,10673704.56
2024-03-16 13:00:00,10606864.88
2024-03-16 14:00:00,10523482.84
2024-03-16 15:00:00,10440010.23
2024-03-16 16:00:00,10372617.85
2024-03-16 17:00:00,10201838.52
2024-03-16 18:00:00,10095541.54
2024-03-16 19:00:00,10814163.96
2024-03-16 20:00:00,10962174.23
2024-03-16 21:00:00,10667238.59
2024-03-16 22:00:00,10134645.04
2024-03-16 23:00:00,9686910.04
2024-03-17 00:00:00,9178062.28
2024-03-17 01:00:00,8719995.53
2024-03-17 02:00:00,8393754.11
2024-03-17 03:00:00,8141730.64
2024-03-17 04:00:00,7946191.83
2024-03-17 05:00:00,7810879.77
2024-03-17 06:00:00,7715098.73
2024-03-17 07:00:00,7501634.83
2024-03-17 08:00:00,7710564.34
2024-03-17 09:00:00,8030360.38
2024-03-17 10:00:00,8424476.6
2024-03-17 11:00:00,8732948.1
2024-03-17 12:00:00,8950035.78
2024-03-17 13:00:00,9160175.56
2024-03-17 14:00:00,9169029.2
2024-03-17 15:00:00,9129297.54
2024-03-17 16:00:00,9091567.81
2024-03-17 17:00:00,9087478.79
2024-03-17 18:00:00,9062723.42
2024-03-17 19:00:00,9818664.48
2024-03-17 20:00:00,10227272.22
2024-03-17 21:00:00,10194426.63
2024-03-17 22:00:00,9994107.71
2024-03-17 23:00:00,9504810.1
2024-03-18 00:00:00,8992206.32
2024-03-18 01:00:00,8516355.52
2024-03-18 02:00:00,8239636.88
2024-03-18 03:00:00,8040551.12
2024-03-18 04:00:00,7938123.53
2024-03-18 05:00:00,8091375.14
2024-03-18 06:00:00,8578236.13
2024-03-18 07:00:00,8710776.18
2024-03-18 08:00:00,9237699.4
2024-03-18 09:00:00,9887878.23
2024-03-18 10:00:00,10256150.65
2024-03-18 11:00:00,10623927.91
2024-03-18 12:00:00,10822539.18
2024-03-18 13:00:00,10774439.42
2024-03-18 14:00:00,11027015.58
2024-03-18 15:00:00,11239967.34
2024-03-18 16:00:00,11258099.45
2024-03-18 17:00:00,11079978.13
2024-03-18 18:00:00,10793729.9
2024-03-18 19:00:00,11326432.86
2024-03-18 20:00:00,11558433.45
2024-03-18 21:00:00,11398037.63
2024-03-18 22:00:00,10853801.44
2024-03-18 23:00:00,10194290.53
2024-03-19 00:00:00,9513347.25
2024-03-19 01:00:00,9022910.99
2024-03-19 02:00:00,8717002.5
2024-03-19 03:00:00,8455331.7
2024-03-19 04:00:00,8321012.21
2024-03-19 05:00:00,8490561.35
2024-03-19 06:00:00,8972793.43
2024-03-19 07:00:00,9086139.28
2024-03-19 08:00:00,9488891.47
2024-03-19 09:00:00,9998489.4
2024-03-19 10:00:00,10284887.29
2024-03-19 11:00:00,10661278.97
2024-03-19 12:00:00,10982889.33
2024-03-19 13:00:00,10927701.98
2024-03-19 14:00:00,11067266.0
2024-03-19 15:00:00,11164900.75
2024-03-19 16:00:00,11175118.2
2024-03-19 17:00:00,10979429.87
2024-03-19 18:00:00,10646908.54
2024-03-19 19:00:00,11071413.28
2024-03-19 20:00:00,11266601.17
2024-03-19 21:00:00,11131735.51
2024-03-19 22:00:00,10723914.57
2024-03-19 23:00:00,9960508.14
2024-03-20 00:00:00,9244263.73
2024-03-20 01:00:00,8826137.11
2024-03-20 02:00:00,8473844.37
2024-03-20 03:00:00,8253345.12
2024-03-20 04:00:00,8149395.38
2024-03-20 05:00:00,8292560.3
2024-03-20 06:00:00,8772027.43
2024-03-20 07:00:00,8897405.85
2024-03-20 08:00:00,9296201.92
2024-03-20 09:00:00,9902118.21
2024-03-20 10:00:00,10173651.63
2024-03-20 11:00:00,10575625.73
2024-03-20 12:00:00,10881207.27
2024-03-20 13:00:00,10862715.52
2024-03-20 14:00:00,11007196.23
2024-03-20 15:00:00,11176323.0
2024-03-20 16:00:00,11169129.77
2024-03-20 17:00:00,10948888.41
2024-03-20 18:00:00,10688970.92
2024-03-20 19:00:00,11068439.78
2024-03-20 20:00:00,11265759.48
2024-03-20 21:00:00,11066405.4
2024-03-20 22:00:00,10534842.05
2024-03-20 23:00:00,9901810.77
2024-03-21 00:00:00,9388418.39
2024-03-21 01:00:00,8750266.1
2024-03-21 02:00:00,8466633.57
2024-03-21 03:00:00,8220863.34
2024-03-21 04:00:00,8092842.26
2024-03-21 05:00:00,8288369.5
2024-03-21 06:00:00,8754509.08
2024-03-21 07:00:00,8886286.61
2024-03-21 08:00:00,9291850.65
2024-03-21 09:00:00,9746047.36
2024-03-21 10:00:00,10121376.22
2024-03-21 11:00:00,10441527.01
2024-03-21 12:00:00,10717792.99
2024-03-21 13:00:00,10662465.28
2024-03-21 14:00:00,10798594.85
2024-03-21 15:00:00,11037367.43
2024-03-21 16:00:00,11096512.85
2024-03-21 17:00:00,10937710.13
2024-03-21 18:00:00,10518017.49
2024-03-21 19:00:00,11028799.87
2024-03-21 20:00:00,11172188.6
2024-03-21 21:00:00,11018741.25
2024-03-21 22:00:00,10531203.46
2024-03-21 23:00:00,9938341.27
2024-03-22 00:00:00,9340223.2
2024-03-22 01:00:00,8818982.07
2024-03-22 02:00:00,8487870.88
2024-03-22 03:00:00,8277646.19
2024-03-22 04:00:00,8182367.85
2024-03-22 05:00:00,8343691.19
2024-03-22 06:00:00,8738461.72
2024-03-22 07:00:00,8841526.46
2024-03-22 08:00:00,9257423.57
2024-03-22 09:00:00,9746660.43
2024-03-22 10:00:00,10045198.91
2024-03-22 11:00:00,10376903.49
2024-03-22 12:00:00,10692458.7
2024-03-22 13:00:00,10719157.19
2024-03-22 14:00:00,10871920.49
2024-03-22 15:00:00,11106091.28
2024-03-22 16:00:00,11124231.56
2024-03-22 17:00:00,10979160.29
2024-03-22 18:00:00,10585816.71
2024-03-22 19:00:00,11096328.39
2024-03-22 20:00:00,11475255.64
2024-03-22 21:00:00,11312600.1
2024-03-22 22:00:00,10733207.25
2024-03-22 23:00:00,10123725.42
2024-03-23 00:00:00,9500902.7
2024-03-23 01:00:00,9074095.51
2024-03-23 02:00:00,8773310.81
2024-03-23 03:00:00,8573595.87
2024-03-23 04:00:00,8424851.44
2024-03-23 05:00:00,8404944.85
2024-03-23 06:00:00,8308649.76
2024-03-23 07:00:00,8376542.15
2024-03-23 08:00:00,8879669.15
2024-03-23 09:00:00,9398592.38
2024-03-23 10:00:00,9824161.01
2024-03-23 11:00:00,10088653.83
2024-03-23 12:00:00,10304410.96
2024-03-23 13:00:00,10274627.47
2024-03-23 14:00:00,10204989.79
2024-03-23 15:00:00,10179578.65
2024-03-23 16:00:00,10054593.59
2024-03-23 17:00:00,9916164.16
2024-03-23 18:00:00,9905067.53
2024-03-23 19:00:00,10569881.56
2024-03-23 20:00:00,10717042.58
2024-03-23 21:00:00,10426598.6
2024-03-23 22:00:00,10119694.42
2024-03-23 23:00:00,9672544.43
2024-03-24 00:00:00,9227762.0
2024-03-24 01:00:00,8745515.37
2024-03-24 02:00:00,8369811.26
2024-03-24 03:00:00,8118304.24
2024-03-24 04:00:00,7971592.39
2024-03-24 05:00:00,7814109.97
2024-03-24 06:00:00,7770703.98
2024-03-24 07:00:00,7479956.58
2024-03-24 08:00:00,7787780.59
2024-03-24 09:00:00,8185746.5
2024-03-24 10:00:00,8553430.78
2024-03-24 11:00:00,8787832.67
2024-03-24 12:00:00,8999840.85
2024-03-24 13:00:00,9166094.04
2024-03-24 14:00:00,9244268.78
2024-03-24 15:00:00,9219708.14
2024-03-24 16:00:00,9185353.9
2024-03-24 17:00:00,9095116.41
2024-03-24 18:00:00,9044773.39
2024-03-24 19:00:00,9840248.5
2024-03-24 20:00:00,10152435.93
2024-03-24 21:00:00,10055269.47
2024-03-24 22:00:00,9787001.65
2024-03-24 23:00:00,9442569.71
2024-03-25 00:00:00,9010832.41
2024-03-25 01:00:00,8368009.87
2024-03-25 02:00:00,8200634.35
2024-03-25 03:00:00,8022022.9
2024-03-25 04:00:00,7770429.32
2024-03-25 05:00:00,7662265.06
2024-03-25 06:00:00,7672966.51
2024-03-25 07:00:00,7607722.95
2024-03-25 08:00:00,8030444.8
2024-03-25 09:00:00,8602665.31
2024-03-25 10:00:00,8987851.71
2024-03-25 11:00:00,9197540.33
2024-03-25 12:00:00,9509841.97
2024-03-25 13:00:00,9629188.97
2024-03-25 14:00:00,9643680.51
2024-03-25 15:00:00,9585096.45
2024-03-25 16:00:00,9556719.39
2024-03-25 17:00:00,9498630.8
2024-03-25 18:00:00,9431458.44
2024-03-25 19:00:00,10167645.87
2024-03-25 20:00:00,10461391.43
2024-03-25 21:00:00,10317732.58
2024-03-25 22:00:00,9937727.72
2024-03-25 23:00:00,9508697.07
2024-03-26 00:00:00,9009844.38
2024-03-26 01:00:00,8539653.0
2024-03-26 02:00:00,8270651.68
2024-03-26 03:00:00,8057452.18
2024-03-26 04:00:00,7939087.45
2024-03-26 05:00:00,8056232.07
2024-03-26 06:00:00,8247969.38
2024-03-26 07:00:00,8389366.38
2024-03-26 08:00:00,8753809.78
2024-03-26 09:00:00,9489903.6
2024-03-26 10:00:00,9805787.45
2024-03-26 11:00:00,10106065.35
2024-03-26 12:00:00,10629938.12
2024-03-26 13:00:00,10702331.97
2024-03-26 14:00:00,10887477.71
2024-03-26 15:00:00,11118277.85
2024-03-26 16:00:00,11183619.83
2024-03-26 17:00:00,10924192.74
2024-03-26 18:00:00,10415912.8
2024-03-26 19:00:00,10726143.6
2024-03-26 20:00:00,10965953.8
2024-03-26 21:00:00,10748334.38
2024-03-26 22:00:00,10409109.02
2024-03-26 23:00:00,9904776.33
2024-03-27 00:00:00,9225152.62
2024-03-27 01:00:00,8489793.54
2024-03-27 02:00:00,8180113.87
2024-03-27 03:00:00,7946310.01
2024-03-27 04:00:00,7798431.47
2024-03-27 05:00:00,7964335.41
2024-03-27 06:00:00,8173744.28
2024-03-27 07:00:00,8313051.34
2024-03-27 08:00:00,8811180.6
2024-03-27 09:00:00,9302878.24
2024-03-27 10:00:00,9533745.45
2024-03-27 11:00:00,9776786.63
2024-03-27 12:00:00,9941064.36
2024-03-27 13:00:00,9989533.79
2024-03-27 14:00:00,9983094.62
2024-03-27 15:00:00,10074329.26
2024-03-27 16:00:00,10040434.15
2024-03-27 17:00:00,9840612.77
2024-03-27 18:00:00,9667145.92
2024-03-27 19:00:00,10174876.03
2024-03-27 20:00:00,10306150.38
2024-03-27 21:00:00,10139777.72
